sighting_date,location
2019-11-23,Fastnet Rock
2019-11-23,Tory Island
2019-11-17,Cape Clear Island
2019-11-14,Tralee
2019-11-14,Roches Point
2019-11-13,Blennerville
2019-11-10,Cork Harbour
2019-11-03,Tralee
2019-10-29,Mulranny
2019-10-18,Arklow
2019-10-17,Belmullet Peninsula
2019-10-15,Tralee
2019-10-14,Bray
2019-10-08,Cork Harbour
2019-10-02,Tralee
2019-09-25,Crosshaven
2019-09-22,Tivoli
2019-09-20,Tralee
2019-09-14,Gormanston
2019-09-13,Castletownbere
2019-09-07,Mutton Island
2019-09-06,Tralee
2019-09-05,Kilmore Quay
2019-09-05,Greencastle
2019-09-02,Roonagh Lough
2019-09-01,Belmullet Peninsula
2019-08-31,Moville
2019-08-29,Dingle Peninsula
2019-08-28,Merrion Gates
2019-08-26,Skerries
2019-08-25,Liscannor
2019-08-24,Rosslare Bay
2019-08-24,Crookhaven
2019-08-24,Ballycotton
2019-08-22,Ireland's Eye
2019-08-17,Ballycotton
2019-08-15,Bray
2019-08-11,Rosslare
2019-08-10,Lough Foyle
2019-08-06,Skerries
2019-08-06,Bray
2019-08-06,Killybegs
2019-08-04,Bray
2019-07-28,Skerries
2019-07-27,Balbriggan
2019-07-24,Bray
2019-07-23,Dingle Peninsula
2019-07-22,Kilmore Quay
2019-07-21,Bray
2019-07-10,Seabank
2019-07-08,Kilmore Quay
2019-07-05,Bray
2019-07-04,Reenard Point
2019-06-30,Kilmore Quay
2019-05-03,Bray
2019-04-22,Cork Harbour
2019-04-19,Tralee
2019-04-19,Bray
2019-04-16,Bray
2019-04-13,Bray
2019-04-13,Blackrock
2019-04-07,Skerries
2019-04-06,Kincasslagh
2019-03-30,Crookhaven
2019-03-06,Bray
2019-03-03,Skerries
2019-03-02,Tacumshin
2019-02-27,Bray
2019-02-22,Skerries
2019-02-21,Sandymount Strand
2019-02-17,Dingle Peninsula
2019-02-11,Kildavin
2019-02-09,Bray
2019-02-09,Bray
2019-02-09,Killybegs
2019-02-02,Tralee
2019-01-29,Bray
2019-01-28,Bray
2019-01-20,Rosslare
2019-01-19,Lurganboy Beach
2019-01-12,Rosslare Bay
2019-01-02,Killybegs
2018-12-30,Templetown
2018-12-27,Bray
2018-12-26,Rosslare
2018-12-26,Bray
2018-12-06,Sligo Town
2018-12-03,Templetown
2018-12-01,Bray
2018-12-01,Sligo Town
2018-11-25,Killybegs
2018-11-25,Crookhaven
2018-11-17,Lissagriffin
2018-11-06,Bray
2018-11-03,Wicklow Town
2018-11-03,Portavaud
2018-11-02,Killybegs
2018-10-31,Lough Atalia
2018-10-30,Cork Harbour
2018-10-27,Tallaght
2018-10-27,Dunmore East
2018-10-26,Tallaght
2018-10-21,Cork Harbour
2018-10-20,Lough Atalia
2018-10-14,Tacumshin
2018-10-11,Lough Atalia
2018-10-08,Cruisetown
2018-10-08,Dundalk
2018-10-05,Achill Island
2018-10-04,Cromane
2018-09-30,Shalwy
2018-09-28,Killybegs
2018-09-23,Tivoli
2018-09-22,Belmullet Peninsula
2018-09-18,Cromane
2018-09-18,Dingle Peninsula
2018-09-16,Baltimore
2018-09-15,Cashen
2018-09-15,Nimmo's Pier
2018-09-15,Kildavin
2018-09-14,Ardglass
2018-09-12,Dingle Peninsula
2018-09-09,Ventry
2018-09-07,Killybegs
2018-09-07,Crookhaven
2018-09-06,Maghery Beach
2018-09-04,Killybegs
2018-09-04,Machaire Uí Rabhartaigh
2018-09-03,Killybegs
2018-09-02,Ballycotton
2018-09-02,Lough Atalia
2018-08-28,Lough Atalia
2018-08-26,Baltimore
2018-08-26,Achill Island
2018-08-24,Nimmo's Pier
2018-08-24,Tory Island
2018-08-22,Cashen
2018-08-21,Youghal
2018-08-13,Ballyconneely
2018-08-13,Lough Atalia
2018-08-12,Kilmore  Quay
2018-08-07,Cahersiveen
2018-08-07,Killybegs
2018-08-06,Ballydonegan
2018-08-04,Castletownbere
2018-08-03,Burtonport
2018-07-28,Magheroarty
2018-07-28,Killybegs
2018-07-28,Killybegs
2018-07-26,Dun Laoghaire
2018-07-25,Sligo Town
2018-07-21,Sligo Town
2018-07-20,Fanad
2018-07-16,Kilmore Quay
2018-07-16,Cromane
2018-07-13,Portmagee
2018-07-13,Kilmore Quay
2018-07-12,Black Rock
2018-06-20,Cashen
2018-06-20,Black Rock
2018-06-19,Machaire UI Rabhartaigh
2018-06-19,Machaire Rabhartaigh
2018-06-07,Kildavin
2018-06-03,Cromane
2018-04-28,Moville
2018-04-19,Fanad
2018-04-15,Tacumshin
2018-04-14,Kildavin
2018-03-24,Kilmore Quay
2018-03-23,Kilmore Quay
2018-03-23,Cashen
2018-03-22,East Coast Nature Reserve
2018-03-13,Crookhaven
2018-03-10,Tralee
2018-03-07,Ballyheigue
2018-03-06,Cashen
2018-03-06,Castletownbere
2018-03-01,Eyeries
2018-03-01,Cashen
2018-02-28,Tacumshin
2018-02-27,Clonakilty
2018-02-25,Cromane
2018-02-23,Tuosist
2018-02-18,Tacumshin
2018-02-17,Kilmore Quay
2018-02-14,Skibbereen
2018-02-13,Black Rock
2018-02-09,Kildavin
2018-02-04,Bray
2018-02-04,Bray
2018-02-03,Crookhaven
2018-01-24,Tralee
2018-01-23,Killybegs
2018-01-22,Ballydonegan
2018-01-21,Castletownbere
2018-01-14,Murvagh
2018-01-13,Ballycotton
2018-01-13,Tralee
2018-01-13,Bann Estuary
2018-01-08,Tory Island
2018-01-08,"Ballybeg, Buttevant"
2018-01-07,Lissagriffin
2018-01-06,Crookhaven
2018-01-01,Dingle Peninsula
2018-01-01,Doonbeg / Quilty
2018-01-01,Black Rock
2017-12-31,Rusheen Bay
2017-12-31,Kildavin
2017-12-30,Ballycotton
2017-12-30,Cashen
2017-12-29,Cahersiveen
2017-12-25,Ballysaggart Lough
2017-12-23,Dungannon
2017-12-18,Achill Island
2017-12-08,Ballycotton
2017-11-23,Blarney
2017-11-11,Castletownbere
2017-11-06,Salthill
2017-11-03,Laytown
2017-10-29,Achill Island
2017-10-27,Tory Island
2017-10-27,Farrihy Lough
2017-10-27,Kildavin
